Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
1997-07-02,1255.909058,1261.571045,1147.331055,1199.061035,1199.061035,0.0,191.8497656
1997-07-03,1194.676025,1194.676025,1149.939941,1150.623047,1150.623047,0.0,184.09968752
1997-07-04,1138.921021,1163.249023,1124.776001,1159.342041,1159.342041,0.0,185.49472656000003
1997-07-07,1161.707031,1163.447021,1085.572021,1096.81897,1096.81897,0.0,175.4910352
1997-07-08,1092.79895,1115.432983,1066.043945,1109.666016,1109.666016,0.0,177.54656255999998
1997-07-09,1113.640991,1122.67395,1104.08606,1120.840942,1120.840942,0.0,179.33455072
1997-07-10,1121.259033,1137.869019,1115.212036,1120.154053,1120.154053,0.0,179.22464848
1997-07-11,1116.415039,1155.05603,1114.396973,1154.793945,1154.793945,0.0,184.7670312
1997-07-14,1189.473999,1201.213989,1180.19104,1200.114014,1200.114014,0.0,192.01824224
1997-07-16,1201.594971,1204.85498,1184.444946,1190.82605,1190.82605,0.0,190.532168
1997-07-17,1188.266968,1203.504028,1180.93396,1197.225952,1197.225952,0.0,191.55615232
1997-07-18,1199.399048,1210.439941,1191.28894,1209.857056,1209.857056,0.0,193.57712896
1997-07-21,1215.838989,1218.480957,1188.875,1193.525024,1193.525024,0.0,190.96400384
1997-07-22,1189.118042,1208.261963,1163.468018,1208.248047,1208.248047,0.0,193.31968752
1997-07-23,1219.055054,1223.822998,1194.703003,1198.860962,1198.860962,0.0,191.81775392
1997-07-24,1194.704956,1200.30896,1172.366943,1174.217041,1174.217041,0.0,187.87472656000003
1997-07-25,1166.56604,1177.652954,1158.135986,1170.862061,1170.862061,0.0,187.33792976
1997-07-28,1167.812988,1167.880005,1138.474976,1141.776978,1141.776978,0.0,182.68431648
1997-07-29,1137.31897,1161.194946,1133.175049,1153.229004,1153.229004,0.0,184.51664064
1997-07-30,1157.089966,1179.478027,1157.004028,1179.421021,1179.421021,0.0,188.70736336
1997-07-31,1184.937012,1192.199951,1179.714966,1189.76001,1189.76001,0.0,190.3616016
1997-08-01,1191.651001,1194.031006,1182.223022,1192.828003,1192.828003,0.0,190.85248048000005
1997-08-04,1196.254028,1201.920044,1188.676025,1200.333008,1200.333008,0.0,192.05328128
1997-08-05,1203.358032,1207.228027,1193.696045,1196.274048,1196.274048,0.0,191.40384768
1997-08-06,1196.035034,1197.444946,1170.266968,1171.94104,1171.94104,0.0,187.5105664
1997-08-07,1167.927002,1199.23999,1161.631958,1199.23999,1199.23999,0.0,191.8783984
