Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
2012-02-08,33974.44922,34282.94141,33974.44922,34226.73047,34226.73047,0.0,2395.8711329
2012-02-09,34226.73047,34307.44922,34041.67188,34268.14063,34268.14063,0.0,2398.7698441
2012-02-10,34268.14063,34268.14063,33829.71094,33892.57813,33892.57813,0.0,2372.4804691000004
2012-02-13,33892.57813,34230.21094,33892.57813,34207.42969,34207.42969,0.0,2394.5200783
2012-02-14,34207.42969,34245.91016,34044.42188,34112.44141,34112.44141,0.0,2387.8708987
2012-02-15,34112.44141,34300.53906,34089.87109,34089.87109,34089.87109,0.0,2386.2909763
2012-02-16,34089.87109,34089.87109,33721.42969,33801.64063,33801.64063,0.0,2366.1148441000005
2012-02-17,33801.64063,34117.41016,33801.64063,34082.78125,34082.78125,0.0,2385.7946875
2012-02-20,34082.78125,34239.89844,34082.78125,34106.0,34106.0,0.0,2387.42
2012-02-21,34106.0,34192.46875,34078.87109,34142.37109,34142.37109,0.0,2389.9659763000004
2012-02-22,34142.37109,34249.21094,33974.89063,34006.51953,34006.51953,0.0,2380.4563671
2012-02-23,34006.51953,34230.03906,34006.51953,34108.19922,34108.19922,0.0,2387.5739454000004
2012-02-24,34108.19922,34282.01953,34104.08984,34260.76172,34260.76172,0.0,2398.2533204000006
2012-02-27,34260.76172,34260.76172,33814.82031,33871.32031,33871.32031,0.0,2370.9924217
2012-02-28,33871.32031,34214.53125,33871.32031,34214.53125,34214.53125,0.0,2395.0171875
2012-02-29,34214.53125,34372.53125,34207.42188,34296.0,34296.0,0.0,2400.7200000000003
2012-03-01,34296.0,34298.48047,33948.12109,34298.48047,34298.48047,0.0,2400.8936329000003
2012-03-02,34298.48047,34298.48047,34023.12109,34186.80859,34186.80859,0.0,2393.0766013
2012-03-05,34186.80859,34186.80859,33910.71094,34031.76953,34031.76953,0.0,2382.2238671
2012-03-06,34031.76953,34031.76953,33330.33984,33387.03906,33387.03906,0.0,2337.0927342000005
2012-03-07,33387.03906,33685.92188,33387.03906,33592.32031,33592.32031,0.0,2351.4624217000005
2012-03-08,33592.32031,33841.32031,33563.07031,33758.62109,33758.62109,0.0,2363.1034763
2012-03-09,33758.62109,33926.19922,33758.62109,33926.19922,33926.19922,0.0,2374.8339454
2012-03-12,33926.19922,34077.07813,33821.12109,33901.71875,33901.71875,0.0,2373.1203125
2012-03-13,33901.71875,34239.46094,33901.71875,34175.39063,34175.39063,0.0,2392.2773441000004
2012-03-14,34175.39063,34541.12891,34175.39063,34426.73828,34426.73828,0.0,2409.8716796
2012-03-15,34426.73828,34601.26953,34156.71094,34215.30078,34215.30078,0.0,2395.0710546
2012-03-16,34215.30078,34438.60156,34215.30078,34221.62109,34221.62109,0.0,2395.5134763
2012-03-19,34221.62109,34312.60938,34035.16016,34214.07031,34214.07031,0.0,2394.9849217000005
2012-03-20,34214.07031,34214.07031,33840.08984,33878.55859,33878.55859,0.0,2371.4991013000003
2012-03-21,33878.55859,33878.55859,33878.55859,33878.55859,33878.55859,0.0,2371.4991013000003
2012-03-22,33878.55859,33975.33984,33493.64844,33550.89063,33550.89063,0.0,2348.5623441
2012-03-23,33550.89063,33672.42188,33323.26172,33572.07031,33572.07031,0.0,2350.0449217000005
2012-03-26,33572.07031,33726.42188,33461.21094,33664.46094,33664.46094,0.0,2356.5122658
2012-03-27,33664.46094,34010.87891,33664.46094,33858.21875,33858.21875,0.0,2370.0753125
2012-03-28,33858.21875,33858.21875,33612.10938,33621.92969,33621.92969,0.0,2353.5350783
2012-03-29,33621.92969,33629.42188,33331.69141,33483.26172,33483.26172,0.0,2343.8283204000004
2012-03-30,33483.26172,33733.16016,33483.26172,33554.21094,33554.21094,0.0,2348.7947658
2012-04-02,33554.21094,33974.62891,33554.21094,33974.62891,33974.62891,0.0,2378.2240237
2012-04-03,33974.62891,34210.76172,33948.46875,34192.19141,34192.19141,0.0,2393.4533987
2012-04-04,34192.19141,34192.19141,33404.32031,33404.32031,33404.32031,0.0,2338.3024217
2012-04-05,33404.32031,33732.19922,33203.64063,33732.19922,33732.19922,0.0,2361.2539454
2012-04-10,33732.19922,33787.12891,33553.94141,33617.73828,33617.73828,0.0,2353.2416796
2012-04-11,33617.73828,33712.41016,33458.51172,33632.76172,33632.76172,0.0,2354.2933204000005
2012-04-12,33632.76172,33816.96094,33486.19141,33816.96094,33816.96094,0.0,2367.1872658
2012-04-13,33816.96094,33882.60938,33579.05859,33705.03125,33705.03125,0.0,2359.3521875
2012-04-16,33705.03125,33766.26953,33576.60156,33661.21094,33661.21094,0.0,2356.2847658
2012-04-17,33661.21094,33777.96875,33569.01172,33777.96875,33777.96875,0.0,2364.4578125000003
2012-04-18,33777.96875,34071.21875,33777.96875,34050.23828,34050.23828,0.0,2383.5166796
2012-04-19,34050.23828,34224.62109,34021.92188,34106.92188,34106.92188,0.0,2387.4845316000005
2012-04-20,34106.92188,34257.12891,33943.28906,34216.55078,34216.55078,0.0,2395.1585546
2012-04-23,34216.55078,34216.55078,33692.75,33703.21094,33703.21094,0.0,2359.2247658
2012-04-24,33703.21094,33901.23828,33703.21094,33820.87109,33820.87109,0.0,2367.4609763000003
2012-04-25,33820.87109,34065.57031,33820.87109,34028.80859,34028.80859,0.0,2382.0166013000003
2012-04-26,34028.80859,34251.42969,34028.80859,34251.42969,34251.42969,0.0,2397.6000783
2012-04-27,34251.42969,34251.42969,34251.42969,34251.42969,34251.42969,0.0,2397.6000783
2012-04-30,34251.42969,34456.35156,34251.42969,34399.03906,34399.03906,0.0,2407.9327342000006
2012-05-01,34399.03906,34399.03906,34399.03906,34399.03906,34399.03906,0.0,2407.9327342000006
2012-05-02,34399.03906,34647.73047,34369.32813,34482.42969,34482.42969,0.0,2413.7700783
2012-05-03,34482.42969,34583.35938,34340.53906,34375.51172,34375.51172,0.0,2406.2858204000004
2012-05-04,34375.51172,34375.51172,34126.21094,34127.28125,34127.28125,0.0,2388.9096875
2012-05-07,34127.28125,34127.28125,33711.78125,33956.07813,33956.07813,0.0,2376.925469100001
2012-05-08,33956.07813,33956.07813,33547.76953,33547.76953,33547.76953,0.0,2348.3438671
2012-05-09,33547.76953,33637.53125,33307.96875,33434.03906,33434.03906,0.0,2340.3827342000004
2012-05-10,33434.03906,33894.89844,33434.03906,33869.71094,33869.71094,0.0,2370.8797658
2012-05-11,33869.71094,34038.46094,33709.23047,34038.46094,34038.46094,0.0,2382.6922658
2012-05-14,34038.46094,34038.46094,33467.07031,33533.55859,33533.55859,0.0,2347.3491013000003
2012-05-15,33533.55859,33833.05078,33360.30859,33486.07813,33486.07813,0.0,2344.0254691000005
2012-05-16,33486.07813,33859.05859,33006.17188,33794.71875,33794.71875,0.0,2365.6303125000004
2012-05-17,33794.71875,33794.71875,33289.82813,33538.92188,33538.92188,0.0,2347.7245316000003
2012-05-18,33538.92188,33538.92188,33063.07813,33148.39063,33148.39063,0.0,2320.3873441000005
2012-05-21,33148.39063,33188.26172,32996.80078,33086.0,33086.0,0.0,2316.0200000000004
2012-05-22,33086.0,33513.80859,33086.0,33488.14063,33488.14063,0.0,2344.1698441000003
2012-05-23,33488.14063,33488.14063,32887.44922,32887.44922,32887.44922,0.0,2302.1214454000005
2012-05-24,32887.44922,33160.37109,32884.92188,33046.12891,33046.12891,0.0,2313.2290237
2012-05-25,33046.12891,33200.14844,32730.91992,32992.25,32992.25,0.0,2309.4575000000004
2012-05-28,32992.25,33328.51953,32992.25,33104.05859,33104.05859,0.0,2317.2841013
2012-05-29,33104.05859,33440.19922,33104.05859,33440.19922,33440.19922,0.0,2340.8139454
2012-05-30,33440.19922,33440.19922,32956.46875,32968.80859,32968.80859,0.0,2307.8166013000005
2012-05-31,32968.80859,33298.12891,32968.80859,33142.60938,33142.60938,0.0,2319.9826566
2012-06-01,33142.60938,33215.62109,32908.35938,33107.46094,33107.46094,0.0,2317.5222658
2012-06-06,33117.85156,33603.35156,33117.85156,33603.35156,33603.35156,0.0,2352.2346092
2012-06-07,33603.35156,34047.33984,33559.51953,33904.85938,33904.85938,0.0,2373.3401566
2012-06-08,33904.85938,33904.85938,33549.05078,33665.71094,33665.71094,0.0,2356.5997658
2012-06-11,33665.71094,34053.12891,33616.57031,33616.57031,33616.57031,0.0,2353.1599217000003
2012-06-12,33616.57031,33855.46094,33491.35938,33855.46094,33855.46094,0.0,2369.8822658
2012-06-13,33855.46094,34037.82813,33802.98828,34037.82813,34037.82813,0.0,2382.6479691000004
2012-06-14,34037.82813,34037.82813,33678.55078,33826.01172,33826.01172,0.0,2367.8208204
2012-06-15,33826.01172,34003.53125,33794.58984,33959.87109,33959.87109,0.0,2377.1909763000003
2012-06-18,33959.87109,34502.39844,33959.87109,34438.76172,34438.76172,0.0,2410.7133204000006
2012-06-19,34438.76172,34714.05859,34371.78906,34714.05859,34714.05859,0.0,2429.9841013000005
2012-06-20,34714.05859,34808.92188,34569.98828,34788.37109,34788.37109,0.0,2435.1859763
2012-06-21,34788.37109,34788.37109,34464.25,34534.05078,34534.05078,0.0,2417.3835546
2012-06-22,34534.05078,34534.05078,34048.01953,34118.87109,34118.87109,0.0,2388.3209763000004
2012-06-25,34118.87109,34194.26953,33821.98047,33821.98047,33821.98047,0.0,2367.5386329000003
2012-06-26,33821.98047,33955.48047,33755.19922,33851.37109,33851.37109,0.0,2369.5959763
2012-06-27,33851.37109,33990.33984,33578.87109,33748.12891,33748.12891,0.0,2362.3690237
2012-06-28,33748.12891,33848.75,33215.78906,33252.55078,33252.55078,0.0,2327.6785546
2012-06-29,33252.55078,33829.80078,33252.55078,33708.30859,33708.30859,0.0,2359.5816013000003
2012-07-02,33708.30859,33778.92969,33547.17188,33652.69141,33652.69141,0.0,2355.6883987
2012-07-03,33652.69141,33985.71094,33652.69141,33985.71094,33985.71094,0.0,2378.9997658
2012-07-04,33985.71094,34163.73047,33954.51172,34041.12109,34041.12109,0.0,2382.8784763000003
2012-07-05,34041.12109,34330.17969,34041.12109,34222.57813,34222.57813,0.0,2395.5804691000003
2012-07-06,34222.57813,34411.71094,34166.48828,34226.21094,34226.21094,0.0,2395.8347658
2012-07-09,34226.21094,34226.21094,33875.83984,33931.10156,33931.10156,0.0,2375.1771092000004
2012-07-10,33931.10156,34143.26953,33837.35156,33998.60156,33998.60156,0.0,2379.9021092000003
2012-07-11,33998.60156,33998.60156,33688.01172,33724.69141,33724.69141,0.0,2360.7283987
2012-07-12,33724.69141,33724.69141,33382.57031,33390.51953,33390.51953,0.0,2337.3363671
2012-07-13,33390.51953,33792.75,33390.51953,33792.75,33792.75,0.0,2365.4925000000003
2012-07-16,33792.75,33803.96875,33657.44141,33728.14063,33728.14063,0.0,2360.9698441000005
2012-07-17,33728.14063,33867.83984,33662.62109,33706.57031,33706.57031,0.0,2359.4599217000005
2012-07-18,33706.57031,34035.05859,33668.92188,34035.05859,34035.05859,0.0,2382.4541013000003
2012-07-19,34035.05859,34334.44141,34026.26953,34291.83984,34291.83984,0.0,2400.4287888000003
2012-07-20,34291.83984,34397.85156,34174.51953,34225.42188,34225.42188,0.0,2395.7795316
2012-07-23,34225.42188,34225.42188,33716.07031,33814.82813,33814.82813,0.0,2367.0379691000003
2012-07-24,33814.82813,34112.23047,33809.14844,33998.44922,33998.44922,0.0,2379.8914454000005
2012-07-25,33998.44922,34224.73047,33964.08984,34069.58984,34069.58984,0.0,2384.8712888000005
2012-07-26,34069.58984,34360.53125,33860.05078,34288.98047,34288.98047,0.0,2400.2286329000003
